parentApplication,parentApplicationId,parentApplicationSelfLink,name,id,globalAppId,status,health,activeAlerts,enhancedAnalytics,deploymentType,tenantName,applicationName,target,hostname,destinationTarget,destinationHostname,newApplicationName
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drymog-fw03.glb.tfayd.com,cfb009a7-cbae-36fe-89e9-c0d83cdeeeef,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drymog-fw03.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drydmz-lbvw1.glb.tfayd.com,df4b7593-b9a3-3462-bfbb-6b5806efd04e,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drydmz-lbvw1.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drymog-fw03-cloud.glb.tfayd.com,e372ef66-37f7-33c8-9883-2246fd59287a,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drymog-fw03-cloud.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drymog-fw03-bc.glb.tfayd.com,ddc80193-bdea-3ef3-9243-9cda0ab16de6,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drymog-fw03-bc.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drydmz-lbh1.glb.tfayd.com,39459a2a-3705-3823-8abb-63d97a57a6fe,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drydmz-lbh1.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drymog-fw04.glb.tfayd.com,29414bf6-d6d0-3655-b5b5-4606a5cb0be3,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drymog-fw04.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-nocws-lb02.glb.tfayd.com,3e0a1104-69ea-36e5-b54c-3989298908b1,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-nocws-lb02.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-7011105 - ADC DryCreek,32a4419a-4d56-3142-af9b-1a1c07409a17,https://localhost/mgmt/cm/global/global-apps/32a4419a-4d56-3142-af9b-1a1c07409a17,gns-7011105_f5dns.den-drymog-fw04-cloud.glb.tfayd.com,3af4628e-64df-3ca7-bf92-9a79a73f2ff6,32a4419a-4d56-3142-af9b-1a1c07409a17,DEPLOYED,Critical,2,FALSE,AS3,gns-7011105,f5dns.den-drymog-fw04-cloud.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2988990 - Federation-SSO,6a7d4f75-11ed-3074-ba20-68bc8102c459,https://localhost/mgmt/cm/global/global-apps/6a7d4f75-11ed-3074-ba20-68bc8102c459,stg-2988990_f5dns.fss-dev.glb.stg-tfayd.com,8f5988f1-318e-3cfb-8405-74b4e0c607dd,6a7d4f75-11ed-3074-ba20-68bc8102c459,DEPLOYED,Good,0,FALSE,AS3,stg-2988990,f5dns.fss-dev.glb.stg-tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
nbcu-2988990 - Federation-SSO,6a7d4f75-11ed-3074-ba20-68bc8102c459,https://localhost/mgmt/cm/global/global-apps/6a7d4f75-11ed-3074-ba20-68bc8102c459,stg-2988990-ssoapp_f5dns.ssoapp.glb.tfayd.com,3dedc009-b4e6-3d31-944d-9a4a4755e07d,6a7d4f75-11ed-3074-ba20-68bc8102c459,DEPLOYED,Good,0,FALSE,AS3,stg-2988990-ssoapp,f5dns.ssoapp.glb.tfayd.com,100.99.198.101,eng-corpor-dns01.glb.tfayd.com,,,
